,,使用,高度,移動類型,兵器類型,性能,編成數,耐久度,生產回合,生產計數,特殊能力,,,,,,,,,,,掃除地雷,掃除機雷,夜間減少率,索敵範圍,,,,,,迎擊範圍,,,,,,價格,搭載種類,,,,,,,,,,,,,,,,搭乘種類,搭載地點,回避力,,,,,,,補給,,,,,,,,,初期武裝套組,變形編號,武裝１,副屬,攻擊判定次數,裝填時間,武裝２,副屬,攻擊判定次數,裝填時間,武裝３,副屬,攻擊判定次數,裝填時間,武裝４,副屬,攻擊判定次數,裝填時間,武裝５,副屬,攻擊判定次數,裝填時間,武裝套組１,,,,,,高速移動力,ECM回避力,,武裝套組２,,,,,,高速移動力,ECM回避力,,武裝套組３,,,,,,高速移動力,ECM回避力,,武裝套組４,,,,,,高速移動力,ECM回避力,,圖像編號,兵器移動聲,地圖圖像,地圖圖像小,兵器別圖示
621,RQ-1掠奪者,○,高空,高空,偵察機,0,1,5,2,60,0,0,0,0,×,×,×,×,×,○,×,×,×,50,1,1,1,5,5,1,0,0,0,0,0,0,500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,18,18,22,30,30,24,24,×,×,×,×,×,×,○,×,×,0,0,AGM-114 地獄火,UAV,2,16,,,,,,,,,,,,,,,,,1,0,0,0,0,7,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,8,8,904
622,RQ-5A 獵人,○,高空,高空,偵察機,0,1,5,2,60,0,0,0,0,×,×,×,×,×,○,×,×,×,50,1,1,1,5,5,1,0,0,0,0,0,0,300,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,18,18,22,27,27,23,23,×,×,×,×,×,×,○,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,8,8,905
625,超級TUAV,○,高空,高空,偵察機,0,1,5,2,50,0,0,0,0,×,×,×,×,×,○,×,×,×,50,1,1,1,5,5,1,0,0,0,0,0,0,300,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,18,18,22,28,28,23,23,×,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,8,8,6706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,P-1,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,70,1,2,3,3,5,5,0,0,0,0,0,0,4000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,24,24,32,35,35,44,44,○,×,×,×,×,×,×,×,×,0,0,97式魚雷,ASub-T,6,16,AGM-84 魚叉,ASM,4,25,,,,,,,,,,,,,3,1,0,0,0,10,13,12,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,9,9,6707
630,PS-1,○,高空,高空,反潛巡邏機,0,1,10,5,420,0,0,0,0,○,×,×,×,×,○,×,×,×,50,1,2,3,3,4,4,0,0,0,0,0,0,2400,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,18,18,26,29,29,38,38,○,×,○,×,×,×,×,×,×,0,0,Mk.46,ASub-T,6,16,,,,,,,,,,,,,,,,,2,0,0,0,0,9,11,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,9,9,1013
632,P-8A海神,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,70,1,2,3,3,5,5,0,0,0,0,0,0,4600,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,22,22,31,34,34,42,42,○,×,×,×,×,×,×,×,×,0,0,Mk.50,ASub-T,6,16,AGM-84 魚叉,ASM,4,25,,,,,,,,,,,,,4,0,0,0,0,10,13,16,200,2,2,0,0,0,10,13,16,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,9,9,6708
633,P-3C 獵戶,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,2,3,3,5,4,0,0,0,0,0,0,3800,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,21,21,30,33,33,40,40,○,×,×,×,×,×,×,×,×,0,0,Mk.50,ASub-T,6,16,AGM-84 魚叉,ASM,4,25,,,,,,,,,,,,,2,0,0,0,0,9,11,10,180,1,2,0,0,0,9,11,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,9,9,1001
634,CP-140極光,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,2,3,3,5,4,0,0,0,0,0,0,3800,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,21,21,30,33,33,40,40,○,×,×,×,×,×,×,×,×,0,0,Mk.50,ASub-T,6,16,AGM-84 魚叉,ASM,4,25,,,,,,,,,,,,,2,0,0,0,0,9,11,10,180,1,2,0,0,0,9,11,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,9,9,1001
639,S-3B 維京,○,高空,高空,反潛巡邏機,0,1,8,5,480,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,2,3,3,5,4,0,0,0,0,0,0,3600,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,21,21,31,34,34,41,41,○,×,×,×,×,×,○,×,×,0,0,Mk.50,ASub-T,6,16,AGM-84 魚叉,ASM,4,25,,,,,,,,,,,,,1,0,0,0,0,9,11,10,150,0,1,0,0,0,9,11,10,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,9,9,1002
641,S-2E 追蹤者,○,高空,高空,反潛巡邏機,0,1,8,5,420,0,0,0,0,○,×,×,×,×,○,×,×,×,50,1,2,3,3,4,4,0,0,0,0,0,0,2500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,22,22,28,33,33,40,40,○,×,×,×,×,×,○,×,×,0,0,Mk.46,ASub-T,6,16,,,,,,,,,,,,,,,,,1,0,0,0,0,8,10,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,9,9,1012
643,P-2海王星,○,高空,高空,反潛巡邏機,0,1,12,5,480,0,0,0,0,○,×,×,×,×,○,×,×,×,50,1,2,3,3,4,3,0,0,0,0,0,0,3000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,18,18,26,30,30,36,36,○,×,×,×,×,×,×,×,×,0,0,Mk.46,ASub-T,6,16,,,,,,,,,,,,,,,,,2,0,0,0,0,9,11,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,9,9,6709
646,Il-38五月,○,高空,高空,反潛巡邏機,0,1,12,5,480,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,2,3,3,4,4,0,0,0,0,0,0,3000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,20,20,28,32,32,39,39,○,×,×,×,×,×,×,×,×,0,0,UMGT-1ME,ASub-T,6,16,,,,,,,,,,,,,,,,,2,0,0,0,0,8,10,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,9,9,1003
649,Tu-142 熊式F,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,3,3,3,5,4,0,0,0,0,0,0,4200,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,26,26,32,35,35,38,38,○,×,×,×,×,×,×,×,×,0,0,UMGT-1ME,ASub-T,6,16,23mm機關砲,航空防,3,8,,,,,,,,,,,,,2,3,0,0,0,9,11,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,9,9,1004
653,MPA320,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,70,1,2,3,3,5,4,0,0,0,0,0,0,4800,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,23,23,30,34,34,40,40,○,×,×,×,×,×,×,×,×,0,0,Mk.46,ASub-T,6,16,AGM-84 魚叉,ASM,4,25,,,,,,,,,,,,,2,1,0,0,0,10,13,12,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,9,9,1005
655,大西洋2,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,2,3,3,4,4,0,0,0,0,0,0,4000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,22,22,30,33,33,40,40,○,×,×,×,×,×,×,×,×,0,0,Mk.46,ASub-T,6,16,飛魚 AM39,ASM,4,25,,,,,,,,,,,,,2,0,0,0,0,8,10,10,180,1,1,0,0,0,8,10,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,9,9,1009
656,大西洋,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,50,1,2,3,3,4,4,0,0,0,0,0,0,3600,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,22,22,30,33,33,40,40,○,×,×,×,×,×,×,×,×,0,0,Mk.46,ASub-T,6,16,,,,,,,,,,,,,,,,,2,0,0,0,0,8,10,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,9,9,1006
660,寧羅MR-4,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,2,3,3,5,4,0,0,0,0,0,0,4400,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,25,25,32,32,32,40,40,○,×,×,×,×,×,×,×,×,0,0,Mk.46,ASub-T,6,16,AGM-84 魚叉,ASM,4,25,,,,,,,,,,,,,2,0,0,0,0,9,12,12,160,1,1,0,0,0,9,12,12,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,9,9,1007
661,寧羅MR-2,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,50,1,2,3,3,5,4,0,0,0,0,0,0,3500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,23,23,31,32,32,39,39,○,×,×,×,×,×,×,×,×,0,0,Mk.46,ASub-T,6,16,AGM-84 魚叉,ASM,4,25,,,,,,,,,,,,,2,0,0,0,0,9,12,10,160,1,1,0,0,0,9,12,10,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,9,9,1008
663,夏克爾頓MR-3,○,高空,高空,反潛巡邏機,0,1,12,5,540,0,0,0,0,○,×,×,×,×,○,×,×,×,40,1,2,3,3,4,4,0,0,0,0,0,0,2800,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,18,18,26,32,32,31,31,○,×,×,×,×,×,×,×,×,0,0,Mk.46,ASub-T,6,16,20mm機關砲,航空防B,3,8,,,,,,,,,,,,,2,3,0,0,0,9,11,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,9,9,6710
666,雅麗賽,○,高空,高空,反潛巡邏機,0,1,8,4,300,0,0,0,0,○,×,×,×,×,○,×,×,×,40,1,3,3,3,4,3,0,0,0,0,0,0,1200,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,19,19,28,35,35,37,37,○,×,×,×,×,×,○,×,×,0,0,Mk.46,ASub-T,6,16,,,,,,,,,,,,,,,,,1,0,0,0,0,10,13,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,9,9,1010
672,水轟5型,○,高空,高空,反潛巡邏機,0,1,10,5,360,0,0,0,0,○,×,×,×,×,○,×,×,×,40,1,2,3,3,4,3,0,0,0,0,0,0,1800,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,16,16,24,28,28,33,33,○,×,○,×,×,×,×,×,×,0,0,魚3,ASub-T,6,16,C-101,ASM,4,25,23mm機關砲,航空防,3,8,,,,,,,,,2,2,3,0,0,8,10,5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,9,9,1011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,C-X,○,高空,高空,運輸機,0,1,15,5,360,0,0,0,0,×,×,×,×,×,○,×,×,×,50,1,2,2,2,2,1,0,0,0,0,0,0,4000,00001110,10,00000110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,20,20,30,36,36,33,33,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,13,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,10,10,6711
682,C-1,○,高空,高空,運輸機,0,1,10,4,300,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,2500,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,19,19,29,35,35,33,33,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,13,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,10,10,1102
684,US-1A改,○,高空,高空,運輸機,0,1,12,5,360,0,0,0,0,×,×,×,×,×,○,×,×,×,50,1,2,2,2,2,1,0,0,0,0,0,0,4000,00000010,10,00000010,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,18,18,27,30,30,35,35,○,×,○,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,10,10,1114
687,C-17全球霸王Ⅲ,○,高空,高空,運輸機,0,1,15,5,360,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,7000,00011110,10,00000010,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,20,20,28,34,34,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,13,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,10,10,1103
688,C-5銀河,○,高空,高空,運輸機,0,1,15,5,420,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,7500,00011110,10,00000110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,18,18,26,29,29,30,30,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,12,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,10,10,1104
691,C-130H 大力神,○,高空,高空,運輸機,0,1,12,4,300,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,3000,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,19,19,28,33,33,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,10,10,1101
693,CC-130 大力神,○,高空,高空,運輸機,0,1,12,4,300,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,3000,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,19,19,28,33,33,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,10,10,1101
698,C-47,○,高空,高空,運輸機,0,1,8,3,120,0,0,0,0,×,×,×,×,×,○,×,×,×,30,1,2,2,2,2,1,0,0,0,0,0,0,1800,00000010,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,18,18,25,26,26,27,27,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,10,10,1113
701,An-124魯斯朗,○,高空,高空,運輸機,0,1,15,5,420,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,7500,00011110,10,00000110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,18,18,24,28,28,29,29,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,12,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,10,10,1105
704,Il-76M正直,○,高空,高空,運輸機,0,1,12,4,240,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,3000,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,20,20,29,34,34,31,31,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,13,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,10,10,1106
706,運輸 8型,○,高空,高空,運輸機,0,1,12,4,240,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,3000,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,20,20,29,34,34,31,31,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,10,10,1111
709,An-26捲毛,○,高空,高空,運輸機,0,1,12,4,240,0,0,0,0,×,×,×,×,×,○,×,×,×,30,1,2,2,2,2,1,0,0,0,0,0,0,2700,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,20,20,28,32,32,31,31,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,12,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,10,10,1110
715,An-2小馬,○,高空,高空,運輸機,0,10,2,2,12,0,0,0,0,×,×,×,×,×,○,×,×,×,30,1,2,2,2,2,1,0,0,0,0,0,0,200,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,18,18,24,22,22,26,26,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,10,10,1112
717,Il-14柯雷特,○,高空,高空,運輸機,0,1,8,3,120,0,0,0,0,×,×,×,×,×,○,×,×,×,30,1,2,2,2,2,1,0,0,0,0,0,0,1600,00000010,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,19,19,26,27,27,28,28,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,0,10,10,6712
719,A400M,○,高空,高空,運輸機,0,1,12,4,360,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,6000,00011110,10,00000010,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,20,20,28,34,34,31,31,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,13,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,0,10,10,1107
722,C-160,○,高空,高空,運輸機,0,1,12,4,300,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,3500,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,19,19,28,32,32,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,0,10,10,1108
725,G-222阿萊尼亞,○,高空,高空,運輸機,0,1,12,4,300,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,3500,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,19,19,28,33,33,31,31,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,10,10,1109
727,諾拉托拉,○,高空,高空,運輸機,0,1,12,4,240,0,0,0,0,×,×,×,×,×,○,×,×,×,30,1,2,2,2,2,1,0,0,0,0,0,0,2200,00001110,10,00000010,10,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,運輸機,19,19,26,28,28,28,28,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,11,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,10,10,6713
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,KC-767,○,高空,高空,空中加油機,0,1,12,5,600,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,8000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,20,20,28,33,33,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,補給物資,通常,1,0,0,0,0,0,20,10,13,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,11,11,1201
737,KC-135同溫層加油機,○,高空,高空,空中加油機,0,1,12,5,600,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,8000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,18,18,27,32,32,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,補給物資,通常,1,0,0,0,0,0,20,10,13,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,11,11,1202
739,B-707,○,高空,高空,空中加油機,0,1,12,5,600,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,8000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,18,18,27,32,32,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,補給物資,通常,1,0,0,0,0,0,20,10,13,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,11,11,1209
741,KC-10延伸者,○,高空,高空,空中加油機,0,1,12,5,600,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,7500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,18,18,26,32,32,31,31,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,補給物資,通常,1,0,0,0,0,0,20,10,13,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,11,11,1203
744,KC-130H,○,高空,高空,空中加油機,0,1,12,5,600,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,6000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,19,19,28,33,33,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,補給物資,通常,1,0,0,0,0,0,15,9,11,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,11,11,1207
745,KCC-130,○,高空,高空,空中加油機,0,1,12,5,600,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,2,1,0,0,0,0,0,0,6000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,19,19,28,33,33,32,32,○,×,×,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,補給物資,通常,1,0,0,0,0,0,15,9,11,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,11,11,1207
